"id","a","b"
"abadi","abadi"
"abaik","abad"
"abak","ayah"
"abang","azan"
"abih","habis ludes"
"abjaik","abjad"
"absensi","absensi"
"abu","abu debu"
"abuan","alokasi jatah jatah"
"abuih","rebus"
"acar","acar"
"acaro","acara"
"acek","pacat"
"aciak","acik"
"acok","acap kerap"
"acuah","acuah"
"acuang","acung"
"adab","adab"
"adaik","adat"
"adang-adang","adakalanya kadang-kadang"
"adia","adil"
"adiak","adik"
"adinda","adinda"
"ado","ada"
"adok","arah hadap"
"adolah","adalah"
"adu","adu"
"aduah","aduh"
"aduak","aduk"
"agamo","agama"
"ageh","agas"
"agen","makelar"
"agenda","agenda"
"agoan","tawaran"
"agresif","agresif"
"ahaik","ahad"
"ahli","ahli juru"
"aia","air"
"aib","nista"
"aik","aib"
"aja","ajal ajar"
"ajaib","ajaib"
"ajak","ajak"
"ajan","gemar"
"ajauk","azab"
"ajuak","ajuk"
"aka","akal akar"
"akaik","akad"
"akhlak","moral"
"akia","akhir"
"akiak","akik"
"akianyo","alhasil"
"akibaik","akibat"
"akidah","akidah"
"akiraik","akhirat"
"akrobaik","akrobat"
"akses","ekses"
"aksi","aksi"
"akta","akta"
"akuak","sampar"
"akuraik","akurat"
"ala","halal"
"alah","telah"
"alai","helai lembar"
"alaik","alat"
"alam","alam"
"alamaik","alamat"
"alang","elang halang"
"alangan","halangan"
"alau","halau"
"album","album"
"aleh","alas"
"alek","helat pesta resepsi"
"alia","alir"
"aliah","alih"
"alias","alias"
"alih","alif"
"alu","alu"
"alua","alur"
"aluih","halus lumat"
"alun","alun belum"
"ama","amal memar"
"amak","emak ibu mama"
"amam","lebam"
"aman","aman"
"amatia","amatir"
"amba","hambar"
"ambacang","kuini"
"amban","emban"
"ambek","cegat hambat"
"ambiak","ambil"
"ambo","aku hamba saya"
"ambu-ambu","kakap"
"ambua","cebur hambur"
"ambuak","empuk"
"ambuang","ambung"
"ambuih","embus"
"ambun","embun"
"ameh","emas"
"amia","amil"
"amih","amis"
"amin","amin"
"amo","bakteri hama"
"ampa","hampar"
"ampalam","pauh"
"ampaleh","ampelas empelas"
"ampang","bendung empang"
"ampedu","empedu"
"ampeh","empas hempas"
"ampek","empat"
"ampia","hampir"
"ampia sajo","nyaris"
"ampiang","emping"
"amplop","amplop"
"ampo","hampa"
"ampok","judi"
"ampu","empu"
"ampujari","jempol"
"ampun","ampun"
"amuah","sudi"
"amuak","amuk"
"anai-anai","rayap"
"anak","anak"
"anam","enam"
"anau","aren"
"ancua","hancur lebur"
"andak","hendak ingin"
"andaleh","andalas"
"andia","dungu"
"andok","endap sembunyi"
"anduak","anduk handuk"
"anduang","nenek"
"ang","kau"
"angah","engah"
"angan-angan","imaginasi"
"angek","hangat"
"angek garang","angkara murka"
"angek-angek","hangat-hangat"
"anggan","enggan ogah"
"anggap","anggap"
"anggar","dermaga"
"anggota","anggota"
"angguak","angguk"
"anggun","anggun"
"angik","angit"
"angin","angin"
"angkaro","angkara"
"angkaso","angkasa"
"angkek","angkat"
"angker","angker"
"angko","angka"
"angkuah","angkuh"
"angkuik","angkut"
"anguih","hangus"
"aniang","adem hening"
"aniayo","aniaya"
"anjak","anjak"
"anjiang","anjing"
"anjua","anjur"
"anjuang","anjung"
"anok","bungkam"
"anso","angsa"
"ansua","angsur cicil geser"
"ansuran","angsuran"
"anta","hantar"
"antah","entah"
"antak","entak"
"antam","hantam"
"antaro","selang"
"anti","anti henti"
"antimun","mentimun"
"antuak","antuk"
"anuik","anut"
"anyia","anyir"
"anyo","cuma hanya"
"anyuik","hanyut"
"apa","apar hafal"
"apak","bapak"
"aparaik","aparat"
"apiak","apak"
"apik","apit"
"apo","apa"
"apobilo","apabila"
"apokoh","apakah"
"apolai","apalagi"
"apuang","apung"
"apuih","hapus"
"arago","harga"
"arah","jurus"
"arak","arak"
"arak-arak","rak"
"aram","eram"
"arang","rahang"
"arapan","harapan"
"arati","arti definisi"
"arato","harta"
"arawah","arwah"
"arek","erat"
"ari","hari"
"ariak","bentak hardik"
"arih","arif"
"arik","arit"
"arimau","harimau macan"
"aro","ara"
"arok","damba harap"
"arok-arok","harap-harap"
"aromaik","hormat"
"aruah","roh"
"aruih","arus"
"asa","asal asar"
"asam","asam"
"asiang","asing"
"asin","asin"
"asli","asli"
"aso","asa esa"
"asok","asap"
"asrama","asrama"
"asuah","asuh"
"asuang","asung"
"asuik","hasut"
